dummy, algorithm, localsearch, alpha, beta, rho, ants, nnls, q0, dlb, rasrank, elitistants, instance
10, ras, 0, 3.25, 1.13, 0.18, 16, 100, 2, __miss__, 72, 1500, 1
9, mmas, 3, 0.68, 0.27, 0.37, 36, 35, 2, 0, 200, 1500, 1
6, as, 2, 3.11, 0.22, 0.33, 26, 5, 2, 0, 200, 1500, 1
6, eas, 3, 4.19, 3.82, 0.91, 79, 32, 2, 0, 200, 483, 1
1, eas, 3, 3.59, 1.43, 0.63, 13, 8, 2, 1, 200, 692, 1
3, acs, 1, 1.03, 3.76, 0.14, 73, 21, 0.95, 1, 200, 1500, 1
2, mmas, 1, 2.76, 8.59, 0.93, 17, 20, 2, 1, 200, 1500, 1
2, eas, 1, 4.04, 7.25, 0.55, 39, 16, 2, 0, 200, 515, 1
7, acs, 2, 3.16, 1.63, 0.39, 69, 8, 0.51, 1, 200, 1500, 1
10, as, 2, 4.8, 0.82, 0.4, 30, 17, 2, 1, 200, 1500, 1
1, eas, 3, 4.03, 2.39, 0.81, 53, 17, 2, 0, 200, 521, 1
7, ras, 3, 3.87, 9.22, 0.76, 61, 24, 2, 0, 85, 1500, 1
10, as, 1, 4.46, 1.86, 0.96, 47, 14, 2, 1, 200, 1500, 1
5, ras, 3, 4.82, 3.79, 0.19, 57, 41, 2, 0, 70, 1500, 1
3, ras, 2, 3.65, 9.58, 0.59, 11, 39, 2, 0, 84, 1500, 1
1, as, 0, 0.83, 1.72, 0.36, 93, 100, 2, __miss__, 200, 1500, 1
7, acs, 1, 0.8, 5.81, 0.92, 66, 43, 0.16, 0, 200, 1500, 1
7, mmas, 2, 4.56, 5.4, 0.99, 93, 7, 2, 1, 200, 1500, 1
3, ras, 2, 2.93, 5.06, 0.15, 86, 41, 2, 1, 21, 1500, 1
3, acs, 3, 4.01, 7.33, 0.59, 30, 33, 0.92, 0, 200, 1500, 1
5, mmas, 2, 2.78, 2.74, 0.02, 53, 24, 2, 1, 200, 1500, 1
4, as, 0, 3.38, 5.9, 0.05, 99, 100, 2, __miss__, 200, 1500, 1
7, as, 0, 0.72, 7.92, 0.69, 5, 100, 2, __miss__, 200, 1500, 1
9, eas, 1, 4.12, 5.83, 0.6, 57, 9, 2, 0, 200, 349, 1
10, mmas, 3, 3.79, 6.12, 0.87, 92, 17, 2, 0, 200, 1500, 1
8, as, 3, 1.38, 4.39, 0.4, 67, 43, 2, 0, 200, 1500, 1
8, eas, 0, 1.73, 6.42, 0.73, 65, 100, 2, __miss__, 200, 363, 1
3, eas, 0, 2.9, 0.84, 0.09, 38, 100, 2, __miss__, 200, 36, 1
1, eas, 3, 2.73, 4.28, 0.65, 43, 7, 2, 0, 200, 425, 1
10, mmas, 3, 3.81, 7.39, 0.34, 86, 11, 2, 1, 200, 1500, 1
9, mmas, 2, 2.6, 5.39, 0.99, 37, 38, 2, 1, 200, 1500, 1
6, ras, 0, 1.8, 3.02, 0.89, 49, 100, 2, __miss__, 52, 1500, 1
9, ras, 2, 3.54, 4.82, 0.59, 53, 26, 2, 1, 30, 1500, 1
6, acs, 3, 2.94, 5.25, 0.95, 34, 22, 0.06, 1, 200, 1500, 1
6, as, 1, 2.29, 8.19, 0.94, 84, 44, 2, 0, 200, 1500, 1
3, as, 1, 4.41, 4.75, 0.88, 94, 18, 2, 1, 200, 1500, 1
3, ras, 3, 1.88, 0.74, 0.35, 51, 34, 2, 1, 20, 1500, 1
6, ras, 2, 1.12, 3.34, 0.62, 22, 25, 2, 0, 13, 1500, 1
10, as, 3, 2.06, 6.35, 0.41, 23, 31, 2, 0, 200, 1500, 1
4, ras, 2, 1.46, 9.94, 0.47, 74, 17, 2, 1, 73, 1500, 1
4, mmas, 1, 4, 8.11, 0.96, 80, 27, 2, 1, 200, 1500, 1
6, mmas, 1, 4.09, 1.14, 0.85, 50, 30, 2, 0, 200, 1500, 1
8, acs, 1, 0.67, 5.26, 0.67, 37, 24, 0.61, 0, 200, 1500, 1
5, eas, 2, 3.25, 5.61, 0.38, 16, 16, 2, 1, 200, 440, 1
9, as, 1, 1.64, 8.11, 0.87, 61, 7, 2, 1, 200, 1500, 1
6, mmas, 0, 4.8, 1.63, 0.35, 100, 100, 2, __miss__, 200, 1500, 1
2, mmas, 3, 4.77, 0.1, 0.93, 99, 36, 2, 0, 200, 1500, 1
7, acs, 0, 2.39, 2.74, 0.97, 8, 100, 0.06, __miss__, 200, 1500, 1
8, as, 0, 3.15, 4.91, 0.78, 65, 100, 2, __miss__, 200, 1500, 1
